date,time,datetime,A_price,AAPL_price,FB_price,GOOG_price,MSFT_price
2017-11-17,15:35:00,2017-11-17 15:35,68.67,170.36,179.83,1047.8,82.745
2017-11-17,15:40:00,2017-11-17 15:40,68.59,170.06,179.53,1045.5,82.86
2017-11-17,15:45:00,2017-11-17 15:45,68.62,170.25,179.62,1047.62,82.77
2017-11-17,15:50:00,2017-11-17 15:50,68.58,169.97,179.71,1047.075,82.74
2017-11-17,15:55:00,2017-11-17 15:55,68.55,170.1432,179.794,1046.43,82.585
2017-11-17,16:00:00,2017-11-17 16:00,68.48,170.09,179.87,1046.83,82.61
2017-11-17,16:05:00,2017-11-17 16:05,68.32,170.02,179.79,1045.72,82.72
2017-11-17,16:10:00,2017-11-17 16:10,68.365,170.2503,179.72,1044.75,82.85
2017-11-17,16:15:00,2017-11-17 16:15,68.375,170.35,179.595,1045.25,82.74
2017-11-17,16:20:00,2017-11-17 16:20,68.55,170.506,179.51,1045.16,82.72
2017-11-17,16:25:00,2017-11-17 16:25,68.57,170.4159,179.4202,1045.49,82.69
2017-11-17,16:30:00,2017-11-17 16:30,68.62,170.56,179.35,1044.32,82.53
2017-11-17,16:35:00,2017-11-17 16:35,68.655,170.55,179.42,1043.3788,82.485
2017-11-17,16:40:00,2017-11-17 16:40,68.68,170.7599,179.4097,1044.6,82.44
2017-11-17,16:45:00,2017-11-17 16:45,68.68,171.14,179.6888,1045.44,82.5
2017-11-17,16:50:00,2017-11-17 16:50,68.72,170.9893,179.693,1045.71,82.3999
2017-11-17,16:55:00,2017-11-17 16:55,68.795,170.91,179.78,1046.04,82.45
2017-11-17,17:00:00,2017-11-17 17:00,68.84,170.8815,179.92,1045.9861,82.42
2017-11-17,17:05:00,2017-11-17 17:05,68.83,170.75,179.85,1046.3201,82.49
2017-11-17,17:10:00,2017-11-17 17:10,68.68,170.54,179.6438,1045.45,82.38
2017-11-17,17:15:00,2017-11-17 17:15,68.695,170.51,179.61,1044.74,82.415
2017-11-17,17:20:00,2017-11-17 17:20,68.825,170.74,179.74,1046.032,82.48
2017-11-17,17:25:00,2017-11-17 17:25,68.9,170.56,179.835,1045.45,82.48
2017-11-17,17:30:00,2017-11-17 17:30,68.88,170.69,179.8386,1045.86,82.52
2017-11-17,17:35:00,2017-11-17 17:35,68.955,170.792,179.84,1045.53,82.53
2017-11-17,17:40:00,2017-11-17 17:40,68.96,170.69,179.86,1044.945,82.47
2017-11-17,17:45:00,2017-11-17 17:45,69.03,170.77,179.8894,1044.855,82.485
2017-11-17,17:50:00,2017-11-17 17:50,68.95,170.846,179.79,1044.64,82.36
2017-11-17,17:55:00,2017-11-17 17:55,68.88,170.7487,179.7,1044.2225,82.48
2017-11-17,18:00:00,2017-11-17 18:00,68.93,170.74,179.77,1043.685,82.502
2017-11-17,18:05:00,2017-11-17 18:05,68.99,170.58,179.63,1042.78,82.45
2017-11-17,18:10:00,2017-11-17 18:10,69.01,170.5497,179.69,1042.75,82.4
2017-11-17,18:15:00,2017-11-17 18:15,69.04,170.72,179.8598,1044.47,82.5
2017-11-17,18:20:00,2017-11-17 18:20,68.989,170.65,179.78,1044.26,82.495
2017-11-17,18:25:00,2017-11-17 18:25,69.01,170.63,179.82,1044.75,82.5
2017-11-17,18:30:00,2017-11-17 18:30,69.07,170.6599,179.86,1044.4,82.495
2017-11-17,18:35:00,2017-11-17 18:35,69.04,170.61,179.835,1044.275,82.4847
2017-11-17,18:40:00,2017-11-17 18:40,69.09,170.65,179.84,1044.3544,82.51
2017-11-17,18:45:00,2017-11-17 18:45,69.05,170.6662,179.77,1043.58,82.5
2017-11-17,18:50:00,2017-11-17 18:50,69.035,170.481,179.657,1042.89,82.465
2017-11-17,18:55:00,2017-11-17 18:55,68.9814,170.43,179.5395,1042.44,82.4258
2017-11-17,19:00:00,2017-11-17 19:00,69.04,170.5858,179.5169,1042.94,82.43
2017-11-17,19:05:00,2017-11-17 19:05,69.05,170.5784,179.6461,1042.7273,82.42
2017-11-17,19:10:00,2017-11-17 19:10,68.98,170.355,179.6088,1042.55,82.405
2017-11-17,19:15:00,2017-11-17 19:15,69.02,170.5,179.6399,1042.93,82.399
2017-11-17,19:20:00,2017-11-17 19:20,68.96,170.37,179.58,1042.68,82.36
2017-11-17,19:25:00,2017-11-17 19:25,68.92,170.42,179.58,1042.6005,82.36
2017-11-17,19:30:00,2017-11-17 19:30,68.96,170.4699,179.6544,1042.12,82.37
2017-11-17,19:35:00,2017-11-17 19:35,69.02,170.47,179.543,1042.45,82.4
2017-11-17,19:40:00,2017-11-17 19:40,68.985,170.53,179.685,1042.2,82.4
2017-11-17,19:45:00,2017-11-17 19:45,68.97,170.51,179.67,1041.6,82.4
2017-11-17,19:50:00,2017-11-17 19:50,68.96,170.479,179.673,1041.27,82.405
2017-11-17,19:55:00,2017-11-17 19:55,69.01,170.4,179.72,1040.14,82.445
2017-11-17,20:00:00,2017-11-17 20:00,69,170.3793,179.65,1038.84,82.45
2017-11-17,20:05:00,2017-11-17 20:05,69.01,170.37,179.615,1039.11,82.405
2017-11-17,20:10:00,2017-11-17 20:10,69.045,170.2799,179.78,1039.25,82.4
2017-11-17,20:15:00,2017-11-17 20:15,68.94,170.118,179.7621,1039.09,82.42
2017-11-17,20:20:00,2017-11-17 20:20,68.93,170.1552,179.785,1039.29,82.45
2017-11-17,20:25:00,2017-11-17 20:25,68.88,170.154,179.725,1039.29,82.4158
2017-11-17,20:30:00,2017-11-17 20:30,68.88,170.2499,179.66,1039.15,82.405
2017-11-17,20:35:00,2017-11-17 20:35,68.91,170.29,179.65,1039.04,82.395
2017-11-17,20:40:00,2017-11-17 20:40,68.91,170.3378,179.52,1037.9599,82.39
2017-11-17,20:45:00,2017-11-17 20:45,68.93,170.35,179.5295,1035.02,82.41
2017-11-17,20:50:00,2017-11-17 20:50,68.89,170.33,179.51,1036.7,82.4
2017-11-17,20:55:00,2017-11-17 20:55,68.93,170.21,179.48,1035.57,82.45
2017-11-17,21:00:00,2017-11-17 21:00,68.88,170.2,179.43,1036.0219,82.43
2017-11-17,21:05:00,2017-11-17 21:05,68.87,170.15,179.36,1035.68,82.41
2017-11-17,21:10:00,2017-11-17 21:10,68.875,170.1646,179.345,1036.802,82.4
2017-11-17,21:15:00,2017-11-17 21:15,68.855,170.07,179.4,1036.82,82.4
2017-11-17,21:20:00,2017-11-17 21:20,68.8,170.11,179.31,1036.22,82.405
2017-11-17,21:25:00,2017-11-17 21:25,68.74,170.2,179.235,1035.69,82.395
2017-11-17,21:30:00,2017-11-17 21:30,68.8,170.24,179.175,1037.48,82.365
2017-11-17,21:35:00,2017-11-17 21:35,68.79,170.1657,179.145,1037.45,82.4
2017-11-17,21:40:00,2017-11-17 21:40,68.815,170.205,179.24,1036.36,82.3943
2017-11-17,21:45:00,2017-11-17 21:45,68.77,169.79,178.99,1034.2075,82.38
2017-11-17,21:50:00,2017-11-17 21:50,68.81,169.67,179.1375,1034.51,82.42
2017-11-17,21:55:00,2017-11-17 21:55,68.85,169.9848,179.18,1034.53,82.525
2017-11-17,22:00:00,2017-11-17 22:00,68.79,170.15,179,1035.67,82.4
2017-11-20,15:35:00,2017-11-20 15:35,69.22,169.94,178.725,1034.44,82.5391
2017-11-20,15:40:00,2017-11-20 15:40,69.11,170.48,179.13,1036.845,82.44
2017-11-20,15:45:00,2017-11-20 15:45,69.0741,170.415,179,1035.89,82.4
2017-11-20,15:50:00,2017-11-20 15:50,69.0824,170.29,179.36,1037.4,82.44
2017-11-20,15:55:00,2017-11-20 15:55,69.05,170.0414,179.44,1036,82.33
2017-11-20,16:00:00,2017-11-20 16:00,69.22,170.17,179.165,1037.13,82.42
2017-11-20,16:05:00,2017-11-20 16:05,69.42,170.27,179.46,1037.65,82.3401
